Name,Game Time,Opponent,Line_Type,3-PT Attempted,3-PT Made,3-PT Made (Combo),Assists,Assists (Combo),Blks+Stls,Blocked Shots,Defensive Rebounds,Dunks,FG Attempted,Fantasy Score,Free Throws Made,Offensive Rebounds,Points,Points (Combo),Pts+Asts,Pts+Rebs,Pts+Rebs+Asts,Rebounds,Rebounds (Combo),Rebs+Asts,Steals,Turnovers
Domantas Sabonis + Jarrett Allen,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,,,,,,,,,,,,,,,,,,24.5,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,4.5,,,,,,,,,,,,34.5,,,,,7.5,,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,5.5,,,,,,,,,,24.5,,,,,,,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Regular,9.0,,,,,,,,0.5,20.5,47.5,5.5,,,,,,,,,,,
Donovan Mitchell,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,7.0,,,,,,,,,,28.5,,35.5,33.5,40.5,5.0,,12.5,1.5,
Donovan Mitchell + Kawhi Leonard,"Mon, Feb 05 6:00 PM",vs SAC/ATL,Regular,,,,,,,,,,,,,,,55.0,,,,,,,,
Draymond Green,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,9.5,,,,,9.5,,,,
Draymond Green,"Mon, Feb 05 6:30 PM",vs BKN,Goblin,,,,,,,,,,,,,,6.5,,,,,,,,,
Draymond Green,"Mon, Feb 05 6:40 PM",vs BKN,Regular,,0.5,,6.5,,1.5,,,,,28.5,,,8.0,,14.5,15.5,22.5,7.0,,14.0,,2.5
Draymond Green + Mikal Bridges,"Mon, Feb 05 6:30 PM",vs BKN/GSW,Regular,,,,,,,,,,,,,,,,,,,,12.5,,,
Draymond Green + Spencer Dinwiddie,"Mon, Feb 05 6:30 PM",vs BKN/GSW,Regular,,,,,13.0,,,,,,,,,,,,,,,,,,
Evan Mobley,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,,,,,,,,,,,,,14.5,,,,,,,,,
Evan Mobley,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,,,,,,,,,,,9.5,,,,,,,,,
Evan Mobley,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,,,,26.5,,,,,,,,,,,,
Harrison Barnes,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,,,,,,0.5,,,,,,,14.5,,,,,4.5,,,1.5,
Harrison Barnes,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,0.5,,,,,,,,,,9.5,,,,,,,,,
Harrison Barnes,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,,,,19.5,,0.5,,,,,,,,,,
Harrison Barnes,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,,,,,,,,,,,12.5,,13.5,15.5,17.5,,,,,
Jalen Johnson,"Mon, Feb 05 6:30 PM",vs LAC,Demon,,2.5,,4.5,,,,,,,,,,19.5,,,,,,,,,
Jalen Johnson,"Mon, Feb 05 6:30 PM",vs LAC,Goblin,,0.5,,,,,,,,,,,,14.5,,,,,7.5,,,0.5,
Jalen Johnson,"Mon, Feb 05 6:40 PM",vs LAC,Regular,,,,,,,,7.5,1.5,,37.5,,,16.5,,19.5,26.5,29.5,9.5,,13.0,,1.5
James Harden,"Mon, Feb 05 6:40 PM",vs ATL,Regular,7.0,,,9.5,,,0.5,,,,42.5,4.0,,20.5,,29.5,25.5,34.5,5.0,,14.5,,
James Harden + Trae Young,"Mon, Feb 05 6:30 PM",vs ATL/LAC,Regular,,,,,19.5,,,,,,,,,,,,,,,,,,
Jarrett Allen,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,,,,,,,,,,,,,19.5,,,,,14.5,,,,
Jarrett Allen,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,,,,0.5,,,,,,,14.5,,,,,9.5,,,,
Jarrett Allen,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,8.0,1.5,,37.5,2.5,3.5,,,,,,,,,,
Jarrett Allen,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,,,,,,,,,,,16.5,,19.5,28.5,30.5,11.5,,13.5,,1.5
Jonas Valanciunas,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,,,3.5,,,,,,,,,,19.5,,,,,,,,,
Jonathan Kuminga,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,24.5,,,,,,,,,
Jonathan Kuminga,"Mon, Feb 05 6:30 PM",vs BKN,Goblin,,,,,,,,,,,,,,14.5,,,,,,,,,
Jonathan Kuminga,"Mon, Feb 05 6:40 PM",vs BKN,Regular,,,,,,,,,,13.0,32.5,3.5,,19.0,,21.5,25.5,28.5,6.5,,9.0,,
Josh Green,"Mon, Feb 05 6:10 PM",vs PHI,Regular,,,,,,,,,,,20.0,,,11.5,,13.5,15.5,17.5,4.0,,,0.5,
Kawhi Leonard,"Mon, Feb 05 6:40 PM",vs ATL,Regular,5.5,,,3.5,,,,,,19.0,46.5,4.0,,26.5,,30.5,33.5,36.5,6.5,,10.0,,
Keegan Murray,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,,,,,,,,,,,,,19.5,,,,,,,,,
Keegan Murray,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,,,,,,,,,,,9.5,,,,,,,,,
Keegan Murray,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,,0.5,,26.5,1.5,,,,,,,,,,,
Keegan Murray,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,,,,,,,,,,,14.0,,15.5,19.0,20.5,5.0,,,,
Kelly Oubre Jr.,"Mon, Feb 05 6:10 PM",vs DAL,Regular,,,,,,1.5,,,,,28.5,,,17.5,,18.5,22.5,24.0,5.0,,,,
Kevin Huerter,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,3.5,,4.5,,,,,,,,,,14.5,,,,,5.5,,,1.5,
Kevin Huerter,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,,,,,,,,,,,9.5,,,,,2.5,,,,
Kevin Huerter,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,,,,22.5,0.5,0.5,,,,,,,,,,
